,tick0,tick1,tick2,tick4
GO:0003143,3,4,0,4
GO:0003146,1,1,0,2
GO:0003151,0,1,0,1
GO:0003156,4,4,2,6
GO:0003157,1,2,0,1
GO:0003158,2,9,1,6
GO:0003159,0,3,0,1
GO:0003160,0,1,0,1
GO:0003197,1,0,0,0
GO:0003203,1,0,0,0
GO:0003205,3,4,0,3
GO:0003206,1,2,0,2
GO:0003208,1,2,0,2
GO:0003214,1,0,0,2
GO:0003228,0,0,0,1
GO:0003229,0,2,0,0
GO:0003230,2,0,0,1
GO:0003231,1,4,0,2
GO:0003254,1,2,0,1
GO:0003272,1,0,0,0
GO:0003279,2,2,0,1
GO:0003281,0,2,0,0
GO:0003283,2,0,0,1
GO:0003306,0,1,0,2
GO:0003307,0,1,0,1
GO:0003308,0,1,0,1
GO:0003321,0,1,0,0
GO:0003330,1,1,0,2
GO:0003331,1,1,0,2
GO:0003333,11,20,6,7
GO:0003341,0,1,0,0
GO:0003344,0,1,0,0
GO:0003348,1,2,0,1
GO:0003351,0,1,0,0
GO:0003382,2,2,0,8
GO:0003383,0,0,0,2
GO:0003401,0,1,0,3
GO:0003402,0,1,0,2
GO:0003406,3,1,3,0
GO:0003407,2,6,1,0
GO:0003416,0,0,1,0
GO:0003674,1989,2503,1479,1377
GO:0003676,268,411,143,228
GO:0003677,73,185,54,79
GO:0003678,14,20,6,8
GO:0003680,12,69,11,20
GO:0003681,5,1,1,1
GO:0003682,26,49,19,16
GO:0003684,0,8,2,6
GO:0003688,0,2,1,0
GO:0003689,0,1,0,0
GO:0003690,5,12,2,1
GO:0003696,0,1,0,1
GO:0003697,3,14,4,3
GO:0003700,56,165,34,63
GO:0003705,8,10,0,4
GO:0003707,0,1,0,0
GO:0003712,47,51,20,43
GO:0003713,24,27,12,29
GO:0003714,11,7,2,6
GO:0003723,193,233,89,149
GO:0003724,25,36,8,23
GO:0003725,3,5,1,2
GO:0003727,12,18,8,16
GO:0003729,95,141,39,87
GO:0003730,17,21,8,17
GO:0003735,189,82,65,61
GO:0003743,47,33,17,32
GO:0003746,10,23,10,2
GO:0003747,6,4,2,5
GO:0003755,5,8,7,7
GO:0003756,4,8,3,4
GO:0003774,25,18,7,13
GO:0003777,3,4,2,4
GO:0003779,55,83,42,50
GO:0003810,4,3,2,3
GO:0003823,2,1,1,0
GO:0003824,1025,1298,853,670
GO:0003825,0,0,1,0
GO:0003837,1,2,1,1
GO:0003839,1,0,0,0
GO:0003840,4,3,1,1
GO:0003841,0,1,1,0
GO:0003842,1,1,1,0
GO:0003843,1,2,5,2
GO:0003844,1,0,1,0
GO:0003846,0,2,0,2
GO:0003847,1,0,0,0
GO:0003852,0,0,1,0
GO:0003857,1,1,0,1
GO:0003860,0,0,2,0
GO:0003863,0,4,0,1
GO:0003867,0,1,0,0
GO:0003868,2,3,5,2
GO:0003869,0,2,3,0
GO:0003873,0,3,0,0
GO:0003876,4,4,5,4
GO:0003878,0,1,0,1
GO:0003881,0,1,0,0
GO:0003882,1,1,1,1
GO:0003883,0,1,2,1
GO:0003887,1,9,0,5
GO:0003896,0,1,0,0
GO:0003899,18,9,11,11
GO:0003906,7,3,2,2
GO:0003909,0,2,1,2
GO:0003910,0,2,1,2
GO:0003916,2,10,4,5
GO:0003917,2,7,1,3
GO:0003919,2,0,0,0
GO:0003921,3,1,0,0
GO:0003922,3,1,0,0
GO:0003923,0,1,1,1
GO:0003924,49,67,44,34
GO:0003933,3,3,0,0
GO:0003934,0,3,0,0
GO:0003935,3,0,0,0
GO:0003937,0,2,1,1
GO:0003938,3,4,1,0
GO:0003939,0,1,0,0
GO:0003943,4,4,0,1
GO:0003948,0,1,0,0
GO:0003950,1,2,1,1
GO:0003952,0,1,0,0
GO:0003954,32,13,23,5
GO:0003955,0,0,0,2
GO:0003956,2,3,2,0
GO:0003958,0,2,7,0
GO:0003963,0,2,0,0
GO:0003964,0,0,1,0
GO:0003973,1,1,1,0
GO:0003975,0,1,0,1
GO:0003977,1,2,0,1
GO:0003978,0,3,0,0
GO:0003979,0,0,1,0
GO:0003980,2,2,0,0
GO:0003983,0,3,2,1
GO:0003985,2,1,1,1
GO:0003987,0,0,0,1
GO:0003988,5,3,3,1
GO:0003989,0,1,0,0
GO:0003990,2,0,1,0
GO:0003992,0,0,0,1
GO:0003993,4,1,5,3
GO:0003994,2,5,1,1
GO:0003995,2,14,6,5
GO:0003997,1,3,3,1
GO:0003998,1,1,1,0
GO:0003999,1,0,1,0
GO:0004000,1,3,0,1
GO:0004001,0,0,0,1
GO:0004003,12,16,4,4
GO:0004004,23,30,8,17
GO:0004012,0,1,0,0
GO:0004013,0,2,1,0
GO:0004014,0,1,0,1
GO:0004016,1,1,0,0
GO:0004017,3,1,3,0
GO:0004018,2,0,0,0
GO:0004019,0,4,4,0
GO:0004020,2,1,0,2
GO:0004021,0,0,1,0
GO:0004022,2,2,2,1
GO:0004028,0,0,0,1
GO:0004029,5,3,0,5
GO:0004030,2,0,0,2
GO:0004032,2,0,1,0
GO:0004033,2,0,2,0
GO:0004044,0,1,1,0
GO:0004045,0,1,0,0
GO:0004047,1,1,0,0
GO:0004053,1,1,0,0
GO:0004054,2,1,0,2
GO:0004055,0,1,1,0
GO:0004058,0,0,1,0
GO:0004062,14,8,16,6
